accident_index,accident_year,accident_ref_no,police_force,vehicle_reference,casualty_reference,variable,previously_published_value,replacement_value,effective_date_of_change
199850A310813,1998,50A310813,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199850A312758,1998,50A312758,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199550A310702,1995,50A310702,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199850A313668,1998,50A313668,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200750A31J111,2007,50A31J111,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200750A31J328,2007,50A31J328,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200850AS2A015,2008,50AS2A015,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200650A31J350,2006,50A31J350,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200650A31G654,2006,50A31G654,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199850A312758,1998,50A312758,50,NULL,NULL,location_northing_osgr,97000,0,28/09/2022
200050A314258,2000,50A314258,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200050A312546,2000,50A312546,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200050A311645,2000,50A311645,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200050A314753,2000,50A314753,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200550A31B402,2005,50A31B402,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199550A310702,1995,50A310702,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200550A31A407,2005,50A31A407,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199850A313668,1998,50A313668,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200750A31J111,2007,50A31J111,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200750A31J328,2007,50A31J328,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200950AS2A001,2009,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
200950AS2A002,2009,50AS2A002,50,NULL,NULL,local_authority_district,596,599,28/09/2022
200950AS2A003,2009,50AS2A003,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201250AS2A002,2012,50AS2A002,50,NULL,NULL,local_authority_district,596,599,28/09/2022
2.0175E+12,2017,500252112,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201450AS2A002,2014,50AS2A002,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201050AS2A001,2010,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201250AS2A001,2012,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201650AS2A001,2016,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201350JC3O006,2013,50JC3O006,50,NULL,NULL,local_authority_district,596,599,28/09/2022
2.0185E+12,2018,500800262,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201350AS2A002,2013,50AS2A002,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201350AS2A001,2013,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
2.0185E+12,2018,500296528,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201150AS2A001,2011,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201450AS2A001,2014,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
201550AS2A001,2015,50AS2A001,50,NULL,NULL,local_authority_district,596,599,28/09/2022
2.0195E+12,2019,500926378,50,NULL,NULL,local_authority_district,596,599,28/09/2022
200850AS2A015,2008,50AS2A015,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200250A312327,2002,50A312327,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200250A313132,2002,50A313132,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200250A312072,2002,50A312072,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200250A313132,2002,50A313132,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200250A312072,2002,50A312072,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200550A31A407,2005,50A31A407,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199950A314523,1999,50A314523,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199450A312188,1994,50A312188,50,NULL,NULL,location_easting_osgr,191300,91300,28/09/2022
199750A312930,1997,50A312930,50,NULL,NULL,location_easting_osgr,190500,90500,28/09/2022
199750A310267,1997,50A310267,50,NULL,NULL,location_easting_osgr,191430,91430,28/09/2022
199650A312092,1996,50A312092,50,NULL,NULL,location_easting_osgr,190900,90900,28/09/2022
199450A311723,1994,50A311723,50,NULL,NULL,location_easting_osgr,190900,90900,28/09/2022
199450A310792,1994,50A310792,50,NULL,NULL,location_easting_osgr,190200,90200,28/09/2022
199850A313668,1998,50A313668,50,NULL,NULL,location_easting_osgr,190090,90090,28/09/2022
199450A310649,1994,50A310649,50,NULL,NULL,location_easting_osgr,191500,91500,28/09/2022
199850A310813,1998,50A310813,50,NULL,NULL,location_easting_osgr,190800,90800,28/09/2022
199550A310702,1995,50A310702,50,NULL,NULL,location_easting_osgr,193000,0,28/09/2022
199750A314128,1997,50A314128,50,NULL,NULL,location_easting_osgr,191100,91100,28/09/2022
199850A312758,1998,50A312758,50,NULL,NULL,location_easting_osgr,97000,0,28/09/2022
199550A310702,1995,50A310702,50,NULL,NULL,location_northing_osgr,193000,0,28/09/2022
2.02106E+12,2021,61130403,6,NULL,NULL,time,241,345,28/09/2022
2.02106E+12,2021,61120129,6,NULL,NULL,time,2310,1914,28/09/2022
202106K078959,2021,06K078959,6,NULL,NULL,date,02/05/2021,02/01/2021,28/09/2022
202106K079449,2021,06K079449,6,NULL,NULL,date,08/05/2021,08/01/2021,28/09/2022
202106K079841,2021,06K079841,6,NULL,NULL,date,02/05/2021,02/02/2021,28/09/2022
202106K079850,2021,06K079850,6,NULL,NULL,date,03/06/2021,03/02/2021,28/09/2022
202106K080019,2021,06K080019,6,NULL,NULL,date,05/05/2021,05/02/2021,28/09/2022
202106N080068,2021,06N080068,6,NULL,NULL,date,09/05/2021,09/01/2021,28/09/2022
202106X080064,2021,06X080064,6,NULL,NULL,date,12/05/2021,12/02/2021,28/09/2022
202106A079120,2021,06A079120,6,NULL,NULL,date,11/05/2021,11/01/2021,28/09/2022
202106A079306,2021,06A079306,6,NULL,NULL,date,23/06/2021,23/01/2021,28/09/2022
202106A079575,2021,06A079575,6,NULL,NULL,date,30/06/2021,30/01/2021,28/09/2022
202106A079632,2021,06A079632,6,NULL,NULL,date,17/05/2021,17/01/2021,28/09/2022
202106A079705,2021,06A079705,6,NULL,NULL,date,04/05/2021,04/02/2021,28/09/2022
202106A079804,2021,06A079804,6,NULL,NULL,date,01/06/2021,01/02/2021,28/09/2022
202106A080112,2021,06A080112,6,NULL,NULL,date,08/05/2021,08/02/2021,28/09/2022
202106A080151,2021,06A080151,6,NULL,NULL,date,11/06/2021,11/02/2021,28/09/2022
202106E078828,2021,06E078828,6,NULL,NULL,date,03/05/2021,03/01/2021,28/09/2022
202106E079079,2021,06E079079,6,NULL,NULL,date,13/05/2021,13/01/2021,28/09/2022
202106E080035,2021,06E080035,6,NULL,NULL,date,06/05/2021,06/02/2021,28/09/2022
202106E080132,2021,06E080132,6,NULL,NULL,date,04/05/2021,04/02/2021,28/09/2022
202106Q079604,2021,06Q079604,6,NULL,NULL,date,08/05/2021,08/01/2021,28/09/2022
202106Q080006,2021,06Q080006,6,NULL,NULL,date,07/05/2021,07/02/2021,28/09/2022
202106X079525,2021,06X079525,6,NULL,NULL,date,24/05/2021,24/01/2021,28/09/2022
202106P079731,2021,06P079731,6,NULL,NULL,date,27/05/2021,27/01/2021,28/09/2022
202106P080084,2021,06P080084,6,NULL,NULL,date,12/06/2021,12/02/2021,28/09/2022
2.02106E+12,2021,61125285,6,NULL,NULL,date,12/12/2021,19/12/2021,28/09/2022
2.02106E+12,2021,61130403,6,NULL,NULL,date,19/01/2021,19/12/2021,28/09/2022
202106F079007,2021,06F079007,6,NULL,NULL,date,04/06/2021,04/01/2021,28/09/2022
202106J079547,2021,06J079547,6,NULL,NULL,date,26/06/2021,26/01/2021,28/09/2022
202106G080128,2021,06G080128,6,NULL,NULL,date,24/05/2021,24/01/2021,28/09/2022
202106G080282,2021,06G080282,6,NULL,NULL,date,14/05/2021,23/01/2021,28/09/2022
202106M079765,2021,06M079765,6,NULL,NULL,date,04/05/2021,04/02/2021,28/09/2022
202106M080073,2021,06M080073,6,NULL,NULL,date,22/05/2021,22/01/2021,28/09/2022
202106L079734,2021,06L079734,6,NULL,NULL,date,26/05/2021,26/01/2021,28/09/2022
202106L079767,2021,06L079767,6,NULL,NULL,date,24/05/2021,24/01/2021,28/09/2022
202106L079939,2021,06L079939,6,NULL,NULL,date,13/06/2021,13/02/2021,28/09/2022
2.02E+204,2017,1.35E+200,13,NULL,NULL,latitude,NULL,53.802307,28/09/2022
2.02E+269,2017,1.35E+265,13,NULL,NULL,latitude,NULL,53.735464,28/09/2022
2.02E+253,2017,1.34E+249,13,NULL,NULL,latitude,NULL,53.798072,28/09/2022
2.02E+220,2017,1.34E+216,13,NULL,NULL,latitude,NULL,53.772941,28/09/2022
20171343E0303,2017,1.34E+306,13,NULL,NULL,latitude,NULL,53.656847,28/09/2022
2.02E+206,2017,1.34E+202,13,NULL,NULL,latitude,NULL,53.690811,28/09/2022
2.02E+241,2017,1.34E+237,13,NULL,NULL,latitude,NULL,53.817781,28/09/2022
2.02E+30,2017,1.34E+26,13,NULL,NULL,latitude,NULL,53.782622,28/09/2022
2.02E+153,2017,1.35E+149,13,NULL,NULL,latitude,NULL,53.665961,28/09/2022
2.02E+223,2017,1.35E+219,13,NULL,NULL,latitude,NULL,53.834351,28/09/2022
2.02E+204,2017,1.35E+200,13,NULL,NULL,longitude,NULL,-1.397136,28/09/2022
2.02E+269,2017,1.35E+265,13,NULL,NULL,longitude,NULL,-1.731932,28/09/2022
2.02E+253,2017,1.34E+249,13,NULL,NULL,longitude,NULL,-1.653605,28/09/2022
2.02E+220,2017,1.34E+216,13,NULL,NULL,longitude,NULL,-1.350414,28/09/2022
20171343E0303,2017,1.34E+306,13,NULL,NULL,longitude,NULL,-1.484915,28/09/2022
2.02E+206,2017,1.34E+202,13,NULL,NULL,longitude,NULL,-1.48644,28/09/2022
2.02E+241,2017,1.34E+237,13,NULL,NULL,longitude,NULL,-1.487289,28/09/2022
2.02E+30,2017,1.34E+26,13,NULL,NULL,longitude,NULL,-1.432035,28/09/2022
2.02E+153,2017,1.35E+149,13,NULL,NULL,longitude,NULL,-1.70619,28/09/2022
2.02E+223,2017,1.35E+219,13,NULL,NULL,longitude,NULL,-1.645647,28/09/2022
200050A311645,2000,50A311645,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200050A314753,2000,50A314753,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199950A311960,1999,50A311960,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199950A311218,1999,50A311218,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199950A311840,1999,50A311840,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200550A31M664,2005,50A31M664,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199850A311423,1998,50A311423,50,NULL,NULL,local_authority_district,594,599,28/09/2022
201150AS2A001,2011,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201650AS2A001,2016,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
2.0185E+12,2018,500296528,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201250AS2A002,2012,50AS2A002,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201350AS2A002,2013,50AS2A002,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
199950A314684,1999,50A314684,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199950A313402,1999,50A313402,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199950A314984,1999,50A314984,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200350A31D971,2003,50A31D971,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200350A31I215,2003,50A31I215,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200150A313215,2001,50A313215,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200550A31B402,2005,50A31B402,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199750A310267,1997,50A310267,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199750A314128,1997,50A314128,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199750A312930,1997,50A312930,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199650A312092,1996,50A312092,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200050A314258,2000,50A314258,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200050A312546,2000,50A312546,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200150A315253,2001,50A315253,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199450A310649,1994,50A310649,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199450A311723,1994,50A311723,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199450A310792,1994,50A310792,50,NULL,NULL,local_authority_district,594,599,28/09/2022
199450A312188,1994,50A312188,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200450A31J257,2004,50A31J257,50,NULL,NULL,local_authority_district,594,599,28/09/2022
200250A312327,2002,50A312327,50,NULL,NULL,local_authority_district,594,599,28/09/2022
201350AS2A001,2013,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201450AS2A001,2014,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201050AS2A001,2010,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
200950AS2A001,2009,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
200950AS2A002,2009,50AS2A002,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
200950AS2A003,2009,50AS2A003,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201250AS2A001,2012,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201350JC3O006,2013,50JC3O006,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
2.0185E+12,2018,500800262,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
2.0195E+12,2019,500926378,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201450AS2A002,2014,50AS2A002,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
201550AS2A001,2015,50AS2A001,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
2.0175E+12,2017,500252112,50,NULL,NULL,local_authority_highway,810,811,28/09/2022
199750A310267,1997,50A310267,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199750A314128,1997,50A314128,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199750A312930,1997,50A312930,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199650A312092,1996,50A312092,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199950A311960,1999,50A311960,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199950A311218,1999,50A311218,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199950A311840,1999,50A311840,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200350A31D971,2003,50A31D971,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200350A31I215,2003,50A31I215,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200550A31M664,2005,50A31M664,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199450A310649,1994,50A310649,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199450A311723,1994,50A311723,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199450A310792,1994,50A310792,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199450A312188,1994,50A312188,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200150A315253,2001,50A315253,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199950A314523,1999,50A314523,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199950A314684,1999,50A314684,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199950A313402,1999,50A313402,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199950A314984,1999,50A314984,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200450A31J257,2004,50A31J257,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200650A31J350,2006,50A31J350,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200650A31G654,2006,50A31G654,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
200150A313215,2001,50A313215,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199850A311423,1998,50A311423,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199850A310813,1998,50A310813,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
199850A312758,1998,50A312758,50,NULL,NULL,local_authority_ons_district,E07000023,E06000053,28/09/2022
